username,name,product_url,main_category,sub_category,product_category,price,sku,image_url
deciem,"Hylamide - Booster, Low-Molecular Ha",http://deciem.com/product/booster-low-molecular-ha-30ml,,,,20.0,booster-low-molecular-ha-30ml,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/booster-low-molecular-ha-30ml.png?v=ef9a233f766f0ac35bba991f84f692fa
deciem,The Ordinary - Vitamin C Suspension 23% + HA Spheres 2%,http://deciem.com/product/rdn-vitamin-c-suspension-23pct-ha-spheres-2pct-30ml,,,,5.8,rdn-vitamin-c-suspension-23pct-ha-spheres-2pct-30ml,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/rdn-vitamin-c-suspension-23pct-ha-spheres-2pct-30ml.png?v=aad82624c66f4533d1d03de0e7595b6f
deciem,NIOD - Spoon,http://deciem.com/product/nid-stainless-steel-spoon-1pc,,,,2.5,nid-stainless-steel-spoon-1pc,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/nid-stainless-steel-spoon-1pc.png?v=4ece88f2c850a26ed33bf9d56eb4e882
deciem,Hylamide - High Efficiency Face Cleaner,http://deciem.com/product/core-high-efficiency-cleaner-120ml,,,,21.0,core-high-efficiency-cleaner-120ml,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/core-high-efficiency-cleaner-120ml.png?v=861b82ef91cf72cc6afb97a06a5c7e2c
deciem,NIOD - Low-Viscosity Cleaning Ester,http://deciem.com/product/low-viscosity-cleaning-ester-240ml,,,,45.0,low-viscosity-cleaning-ester-240ml,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/low-viscosity-cleaning-ester-240ml.png?v=25138ff2453fd7b9bd0ee03444f16c65
deciem,NIOD - Sanskrit Saponins,http://deciem.com/product/nid-sanskrit-saponins-90ml,,,,28.0,nid-sanskrit-saponins-90ml,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/nid-sanskrit-saponins-90ml.png?v=f9802953b04e740877523e3fc33d0d61
deciem,NIOD - Set N.1,http://deciem.com/product/niod-set-1,,,,70.0,niod-set-1,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/niod-set-1.png?v=74e8a4e599db834b602a30716d557caa
deciem,Hylamide - Hydra-Density Mist,http://deciem.com/product/hlm-hydra-density-mist-120ml,,,,18.0,hlm-hydra-density-mist-120ml,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/hlm-hydra-density-mist-120ml.png?v=3ce742980d300856a724469681f35127
deciem,NIOD - Superoxide Dismutase Saccharide Mist,http://deciem.com/product/nid-superoxide-dismutase-saccharide-mist-240ml,,,,50.0,nid-superoxide-dismutase-saccharide-mist-240ml,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/nid-superoxide-dismutase-saccharide-mist-240ml.png?v=bc73ff25980bfbb7deca3df635636e47
deciem,The Chemistry Brand - Inhibitif Face Serum,http://deciem.com/product/face-serum-30ml,,,,20.0,face-serum-30ml,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/face-serum-30ml.png?v=c89d5b4bfd6edef94a355f6e5b75476d
deciem,"Hylamide - Booster, C25",http://deciem.com/product/booster-c25-30ml,,,,27.0,booster-c25-30ml,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/booster-c25-30ml.png?v=ce9d5e41263cecf1a8e1691ed0b425df
deciem,"Hylamide - Booster, Glow",http://deciem.com/product/booster-glow-30ml,,,,32.0,booster-glow-30ml,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/booster-glow-30ml.png?v=c3642a2c467ec28a71270342e20c7db7
deciem,"Hylamide - Booster, Pore Flush",http://deciem.com/product/hlm-booster-pore-flush-120ml,,,,16.0,hlm-booster-pore-flush-120ml,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/hlm-booster-pore-flush-120ml.png?v=0cbbe19b325e5c80921ab2b9d0c356f5
deciem,"Hylamide - Booster, Sensitive",http://deciem.com/product/booster-sensitive-30ml,,,,20.0,booster-sensitive-30ml,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/booster-sensitive-30ml.png?v=1731c5cc93e815a257e6153635a546da
deciem,Hylamide - Pore Control,http://deciem.com/product/booster-pore-control-30ml,,,,27.0,booster-pore-control-30ml,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/booster-pore-control-30ml.png?v=19585fc7221d2a3618ade084265f9f52
deciem,Hylamide - Pore Delete,http://deciem.com/product/finisher-poredelete-30ml,,,,18.0,finisher-poredelete-30ml,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/finisher-poredelete-30ml.png?v=ab65c980c06901584f083e41efc85f72
deciem,Hylamide - Subq Anti-Age,http://deciem.com/product/subq-anti-age-30ml,,,,38.0,subq-anti-age-30ml,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/subq-anti-age-30ml.png?v=a81b8bca699cb175563e996a74c40262
